nohup: ignoring input
Number of parameter:  74.51M

  0%|                                                                                                      | 0/98 [00:00<?, ?it/s]
TRAIN (0) | Loss: 3.655 | Acc 0.178 mIoU 0.088:   0%|                                                      | 0/98 [00:09<?, ?it/s]
TRAIN (0) | Loss: 3.655 | Acc 0.178 mIoU 0.088:   1%|▍                                             | 1/98 [00:09<15:32,  9.61s/it]
TRAIN (0) | Loss: 3.614 | Acc 0.239 mIoU 0.114:   1%|▍                                             | 1/98 [00:12<15:32,  9.61s/it]
TRAIN (0) | Loss: 3.614 | Acc 0.239 mIoU 0.114:   2%|▉                                             | 2/98 [00:12<09:00,  5.63s/it]
TRAIN (0) | Loss: 3.685 | Acc 0.223 mIoU 0.113:   2%|▉                                             | 2/98 [00:15<09:00,  5.63s/it]
TRAIN (0) | Loss: 3.685 | Acc 0.223 mIoU 0.113:   3%|█▍                                            | 3/98 [00:15<07:01,  4.44s/it]
TRAIN (0) | Loss: 3.718 | Acc 0.209 mIoU 0.107:   3%|█▍                                            | 3/98 [00:18<07:01,  4.44s/it]
TRAIN (0) | Loss: 3.718 | Acc 0.209 mIoU 0.107:   4%|█▉                                            | 4/98 [00:18<06:03,  3.87s/it]
TRAIN (0) | Loss: 3.774 | Acc 0.187 mIoU 0.095:   4%|█▉                                            | 4/98 [00:21<06:03,  3.87s/it]
TRAIN (0) | Loss: 3.774 | Acc 0.187 mIoU 0.095:   5%|██▎                                           | 5/98 [00:21<05:35,  3.61s/it]
TRAIN (0) | Loss: 3.909 | Acc 0.198 mIoU 0.100:   5%|██▎                                           | 5/98 [00:24<05:35,  3.61s/it]
TRAIN (0) | Loss: 3.909 | Acc 0.198 mIoU 0.100:   6%|██▊                                           | 6/98 [00:24<05:11,  3.38s/it]
TRAIN (0) | Loss: 3.898 | Acc 0.216 mIoU 0.111:   6%|██▊                                           | 6/98 [00:27<05:11,  3.38s/it]
TRAIN (0) | Loss: 3.898 | Acc 0.216 mIoU 0.111:   7%|███▎                                          | 7/98 [00:27<04:54,  3.24s/it]
TRAIN (0) | Loss: 3.858 | Acc 0.221 mIoU 0.116:   7%|███▎                                          | 7/98 [00:31<04:54,  3.24s/it]
TRAIN (0) | Loss: 3.858 | Acc 0.221 mIoU 0.116:   8%|███▊                                          | 8/98 [00:31<05:11,  3.46s/it]
TRAIN (0) | Loss: 3.798 | Acc 0.238 mIoU 0.126:   8%|███▊                                          | 8/98 [00:34<05:11,  3.46s/it]
TRAIN (0) | Loss: 3.798 | Acc 0.238 mIoU 0.126:   9%|████▏                                         | 9/98 [00:34<04:58,  3.36s/it]
TRAIN (0) | Loss: 3.728 | Acc 0.248 mIoU 0.133:   9%|████▏                                         | 9/98 [00:39<04:58,  3.36s/it]
TRAIN (0) | Loss: 3.728 | Acc 0.248 mIoU 0.133:  10%|████▌                                        | 10/98 [00:39<05:24,  3.69s/it]
TRAIN (0) | Loss: 3.674 | Acc 0.262 mIoU 0.140:  10%|████▌                                        | 10/98 [00:42<05:24,  3.69s/it]
TRAIN (0) | Loss: 3.674 | Acc 0.262 mIoU 0.140:  11%|█████                                        | 11/98 [00:42<05:23,  3.72s/it]
TRAIN (0) | Loss: 3.622 | Acc 0.276 mIoU 0.146:  11%|█████                                        | 11/98 [00:46<05:23,  3.72s/it]
TRAIN (0) | Loss: 3.622 | Acc 0.276 mIoU 0.146:  12%|█████▌                                       | 12/98 [00:46<05:12,  3.63s/it]
TRAIN (0) | Loss: 3.582 | Acc 0.296 mIoU 0.157:  12%|█████▌                                       | 12/98 [00:49<05:12,  3.63s/it]
TRAIN (0) | Loss: 3.582 | Acc 0.296 mIoU 0.157:  13%|█████▉                                       | 13/98 [00:49<04:55,  3.47s/it]
TRAIN (0) | Loss: 3.521 | Acc 0.314 mIoU 0.167:  13%|█████▉                                       | 13/98 [00:52<04:55,  3.47s/it]
TRAIN (0) | Loss: 3.521 | Acc 0.314 mIoU 0.167:  14%|██████▍                                      | 14/98 [00:52<04:53,  3.50s/it]
TRAIN (0) | Loss: 3.469 | Acc 0.326 mIoU 0.172:  14%|██████▍                                      | 14/98 [00:57<04:53,  3.50s/it]
TRAIN (0) | Loss: 3.469 | Acc 0.326 mIoU 0.172:  15%|██████▉                                      | 15/98 [00:57<05:08,  3.71s/it]
TRAIN (0) | Loss: 3.423 | Acc 0.334 mIoU 0.176:  15%|██████▉                                      | 15/98 [01:00<05:08,  3.71s/it]
TRAIN (0) | Loss: 3.423 | Acc 0.334 mIoU 0.176:  16%|███████▎                                     | 16/98 [01:00<04:49,  3.52s/it]
TRAIN (0) | Loss: 3.399 | Acc 0.341 mIoU 0.181:  16%|███████▎                                     | 16/98 [01:03<04:49,  3.52s/it]
TRAIN (0) | Loss: 3.399 | Acc 0.341 mIoU 0.181:  17%|███████▊                                     | 17/98 [01:03<04:31,  3.35s/it]
TRAIN (0) | Loss: 3.357 | Acc 0.354 mIoU 0.188:  17%|███████▊                                     | 17/98 [01:06<04:31,  3.35s/it]
TRAIN (0) | Loss: 3.357 | Acc 0.354 mIoU 0.188:  18%|████████▎                                    | 18/98 [01:06<04:22,  3.28s/it]
TRAIN (0) | Loss: 3.303 | Acc 0.366 mIoU 0.194:  18%|████████▎                                    | 18/98 [01:09<04:22,  3.28s/it]
